itemid,label,category,param_type,origin
220396,Glutamic acid,Ingredients - general (Not In Use),Ingredient,chartevents
220397,Glutamine,Ingredients - general (Not In Use),Ingredient,chartevents
220399,Glycine,Ingredients - general (Not In Use),Ingredient,chartevents
220402,Histidine,Ingredients - general (Not In Use),Ingredient,chartevents
220407,Inositol,Ingredients - general (Not In Use),Ingredient,chartevents
220408,Iodine,Ingredients - general (Not In Use),Ingredient,chartevents
220410,Iron (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220411,Isoleucine,Ingredients - general (Not In Use),Ingredient,chartevents
220412,Kilogram calory,Ingredients - general (Not In Use),Ingredient,chartevents
220413,Kilojoule,Ingredients - general (Not In Use),Ingredient,chartevents
220415,L-carnitine,Ingredients - general (Not In Use),Ingredient,chartevents
220417,Leucine,Ingredients - general (Not In Use),Ingredient,chartevents
220418,Linolenic acids,Ingredients - general (Not In Use),Ingredient,chartevents
220421,Lysine,Ingredients - general (Not In Use),Ingredient,chartevents
220422,Magnesium (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220423,Manganese,Ingredients - general (Not In Use),Ingredient,chartevents
220424,Menaquinon,Ingredients - general (Not In Use),Ingredient,chartevents
220426,Methionine,Ingredients - general (Not In Use),Ingredient,chartevents
220427,Molybdenum,Ingredients - general (Not In Use),Ingredient,chartevents
220429,Myristic acid,Ingredients - general (Not In Use),Ingredient,chartevents
220432,Niacin,Ingredients - general (Not In Use),Ingredient,chartevents
220435,Nitrogen,Ingredients - general (Not In Use),Ingredient,chartevents
220444,Pantotanic acid,Ingredients - general (Not In Use),Ingredient,chartevents
220446,Phenylalanine,Ingredients - general (Not In Use),Ingredient,chartevents
220447,Philoquinone,Ingredients - general (Not In Use),Ingredient,chartevents
220448,Phosphorus,Ingredients - general (Not In Use),Ingredient,chartevents
220451,Potassium (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220453,Proline,Ingredients - general (Not In Use),Ingredient,chartevents
220454,Protein,Ingredients,Ingredient,chartevents
220455,Pyridoxine,Ingredients - general (Not In Use),Ingredient,chartevents
220456,Retinol,Ingredients - general (Not In Use),Ingredient,chartevents
220457,Rhenium,Ingredients - general (Not In Use),Ingredient,chartevents
220458,Rhodium,Ingredients - general (Not In Use),Ingredient,chartevents
220459,Riboflavin,Ingredients - general (Not In Use),Ingredient,chartevents
220460,Rubidium,Ingredients - general (Not In Use),Ingredient,chartevents
220461,Samarium,Ingredients - general (Not In Use),Ingredient,chartevents
220462,Scandium,Ingredients - general (Not In Use),Ingredient,chartevents
220463,Selenium,Ingredients - general (Not In Use),Ingredient,chartevents
220464,Serine,Ingredients - general (Not In Use),Ingredient,chartevents
220465,Silicone,Ingredients - general (Not In Use),Ingredient,chartevents
220466,Silver,Ingredients - general (Not In Use),Ingredient,chartevents
220467,Sodium (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220468,Sorbitol,Ingredients - general (Not In Use),Ingredient,chartevents
220469,Stearic Acid,Ingredients - general (Not In Use),Ingredient,chartevents
220470,Strontium,Ingredients - general (Not In Use),Ingredient,chartevents
220471,Sulfur,Ingredients - general (Not In Use),Ingredient,chartevents
220472,Tantalum,Ingredients - general (Not In Use),Ingredient,chartevents
220473,Taurine,Ingredients - general (Not In Use),Ingredient,chartevents
220474,Tellurium,Ingredients - general (Not In Use),Ingredient,chartevents
220475,Terbium,Ingredients - general (Not In Use),Ingredient,chartevents
220476,Thallium,Ingredients - general (Not In Use),Ingredient,chartevents
220477,Thorium,Ingredients - general (Not In Use),Ingredient,chartevents
220478,Threonine,Ingredients - general (Not In Use),Ingredient,chartevents
220479,Thryptophan,Ingredients - general (Not In Use),Ingredient,chartevents
220480,Thulium,Ingredients - general (Not In Use),Ingredient,chartevents
220481,Tin,Ingredients - general (Not In Use),Ingredient,chartevents
220482,Tintanium,Ingredients - general (Not In Use),Ingredient,chartevents
220483,Tocopherol,Ingredients - general (Not In Use),Ingredient,chartevents
220484,Tungsten,Ingredients - general (Not In Use),Ingredient,chartevents
220485,Tyrosine,Ingredients - general (Not In Use),Ingredient,chartevents
220486,Valine,Ingredients - general (Not In Use),Ingredient,chartevents
220487,Vanadium,Ingredients - general (Not In Use),Ingredient,chartevents
220488,Vitamin D12,Ingredients - general (Not In Use),Ingredient,chartevents
220489,Vitamin K,Ingredients - general (Not In Use),Ingredient,chartevents
220490,Water,Ingredients,Ingredient,chartevents
220491,Ytterbium,Ingredients - general (Not In Use),Ingredient,chartevents
220492,Zinc (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220494,Linoleic acids,Ingredients - general (Not In Use),Ingredient,chartevents
220497,AThiamine,Ingredients - general (Not In Use),Ingredient,chartevents
220507,Activated Clotting Time,Labs,Numeric,chartevents
220541,ZFibrinogen,Labs,Numeric,chartevents
220545,Hematocrit (serum),Labs,Numeric,chartevents
220546,WBC,Labs,Numeric,chartevents
220560,ZProthrombin time,Labs,Numeric,chartevents
220561,ZINR,Labs,Numeric,chartevents
220562,ZPTT,Labs,Numeric,chartevents
220574,ZAlbumin,Labs,Numeric,chartevents
220580,Ammonia,Labs,Numeric,chartevents
220581,Amylase,Labs,Numeric,chartevents
220587,AST,Labs,Numeric,chartevents
220602,Chloride (serum),Labs,Numeric,chartevents
220603,Cholesterol,Labs,Numeric,chartevents
220611,ZCortisol,Labs,Numeric,chartevents
220612,ZC Reactive Protein (CRP),Labs,Numeric,chartevents
220615,Creatinine (serum),Labs,Numeric,chartevents
220621,Glucose (serum),Labs,Numeric,chartevents
220624,HDL,Labs,Numeric,chartevents
220632,LDH,Labs,Numeric,chartevents
220635,Magnesium,Labs,Numeric,chartevents
220640,ZPotassium (serum),Labs,Numeric,chartevents
220644,ALT,Labs,Numeric,chartevents
220645,Sodium (serum),Labs,Numeric,chartevents
220650,Total Protein,Labs,Numeric,chartevents
220734,PH (dipstick),Labs,Numeric,chartevents
220765,Intra Cranial Pressure,Hemodynamics,Numeric,chartevents
220799,ZSpecific Gravity (urine),Labs,Numeric,chartevents
220861,Albumin (Human) 20%,Fluids - Other (Not In Use),Solution,chartevents
220862,Albumin 25%,Blood Products/Colloids,Solution,chartevents
220863,Albumin (Human) 4%,Fluids - Other (Not In Use),Solution,chartevents
220864,Albumin 5%,Blood Products/Colloids,Solution,chartevents
220865,Aquadestila,Fluids - Other (Not In Use),Solution,chartevents
220866,Darrow,Fluids - Other (Not In Use),Solution,chartevents
220948,Lactate (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220949,Dextrose 5%,Fluids/Intake,Solution,chartevents
220950,Dextrose 10%,Fluids/Intake,Solution,chartevents
220951,Dextrose 20.%,Fluids - Other (Not In Use),Solution,chartevents
220952,Dextrose 50%,Fluids/Intake,Solution,chartevents
220953,Ringers,Fluids - Other (Not In Use),Solution,chartevents
220954,"Saline 0,9%",Fluids - Other (Not In Use),Solution,chartevents
220955,Ringers Lactate,Fluids - Other (Not In Use),Solution,chartevents
220956,Ringers Acetate,Fluids - Other (Not In Use),Solution,chartevents
220957,Acetate (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220958,"Saline 0,255%",Fluids - Other (Not In Use),Solution,chartevents
220959,"Saline 0,3%",Fluids - Other (Not In Use),Solution,chartevents
220960,"Saline 0,45%",Fluids - Other (Not In Use),Solution,chartevents
220961,"Saline 0,65%",Fluids - Other (Not In Use),Solution,chartevents
220962,Saline 3%,Fluids - Other (Not In Use),Solution,chartevents
220963,"Dextrose 4,3% / Saline 0,18%",Fluids - Other (Not In Use),Solution,chartevents
220964,"Dextrose 5% / Saline 0,9%",Fluids - Other (Not In Use),Solution,chartevents
220965,"Dextrose 5% / Saline 0,45%",Fluids - Other (Not In Use),Solution,chartevents
220966,"Dextrose 2,5% / Saline 0,45%",Fluids - Other (Not In Use),Solution,chartevents
220967,Dextrose 5% / Ringers Lactate,Fluids - Other (Not In Use),Solution,chartevents
220968,Dextrose 10% / Ringers Lactate,Fluids - Other (Not In Use),Solution,chartevents
220969,Filtered erytrocytes,Fluids - Other (Not In Use),Solution,chartevents
220970,Fresh Frozen Plasma,Blood Products/Colloids,Solution,chartevents
220971,ESDEP (Solvent / Detergent Virus-Inactivated Plasma),Fluids - Other (Not In Use),Solution,chartevents
220972,Octoplas,Fluids - Other (Not In Use),Solution,chartevents
220973,Gelofusine,Fluids - Other (Not In Use),Solution,chartevents
220974,Gelatin succinylated,Ingredients - general (Not In Use),Ingredient,chartevents
220975,"Pentastarch 6% (HAES, Hemohes)",Fluids - Other (Not In Use),Solution,chartevents
220976,Pentastarch,Ingredients - general (Not In Use),Ingredient,chartevents
220977,"Pentastarch 10% (HAES, Hemohes)",Fluids - Other (Not In Use),Solution,chartevents
220978,Hetastarch (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220979,"Hetastarch 6% (Saline 0,9%)",Fluids - Other (Not In Use),Solution,chartevents
220980,Hextend (Hetastarch 6% in Lactate),Fluids - Other (Not In Use),Solution,chartevents
220981,Glycerol,Ingredients - general (Not In Use),Ingredient,chartevents
220982,Soya oil,Ingredients - general (Not In Use),Ingredient,chartevents
220983,Lecithin,Ingredients - general (Not In Use),Ingredient,chartevents
220984,Intralipid 10%,Fluids - Other (Not In Use),Solution,chartevents
220985,Intralipid 20%,Fluids - Other (Not In Use),Solution,chartevents
220986,Intralipid 30%,Fluids - Other (Not In Use),Solution,chartevents
220987,D-Mannitol (C6H14O6),Ingredients - general (Not In Use),Ingredient,chartevents
220988,Mannitol 5%,Fluids - Other (Not In Use),Solution,chartevents
220989,Mannitol 10%,Fluids - Other (Not In Use),Solution,chartevents
220990,Mannitol 15%,Fluids - Other (Not In Use),Solution,chartevents
220991,Mannitol 20%,Fluids - Other (Not In Use),Solution,chartevents
220992,Mannitol 25%,Fluids - Other (Not In Use),Solution,chartevents
220994,Bicarbonate (ingr),Ingredients - general (Not In Use),Ingredient,chartevents
220995,Sodium Bicarbonate 8.4%,Medications,Solution,chartevents
220996,Packed Red Cells,Fluids - Other (Not In Use),Solution,chartevents
221000,Dextran 40 / Dextrose 5% (Gentran - Rheomacrodex),Fluids - Other (Not In Use),Solution,chartevents
221001,"Dextran 40 / Saline 0,9% (Gentran - Rheomacrodex)",Fluids - Other (Not In Use),Solution,chartevents
221002,Dextran 70 / Dextrose 5% (Gentran - Macrodex - RescueFlow),Fluids - Other (Not In Use),Solution,chartevents
221003,"Dextran 70 / Saline 0,9% (Gentran - Macrodex - RescueFlow)",Fluids - Other (Not In Use),Solution,chartevents
221004,Thrombocyte suspension,Fluids - Other (Not In Use),Solution,chartevents
221005,Vamin 14 Electrolyte free,Fluids - Other (Not In Use),Solution,chartevents
221006,Vamin 18 Electrolyte free,Fluids - Other (Not In Use),Solution,chartevents
221007,Vamin 14 Plus electrolytes,Fluids - Other (Not In Use),Solution,chartevents
221008,Vamin Novum 18,Fluids - Other (Not In Use),Solution,chartevents
221009,Vivinox T.E.N.,Fluids - Other (Not In Use),Solution,chartevents
221011,Vivonex Plus,Fluids - Other (Not In Use),Solution,chartevents
221012,Vivonex Pediatric,Fluids - Other (Not In Use),Solution,chartevents
221013,Whole Blood,Fluids - Other (Not In Use),Solution,chartevents
221014,Dextrose 19%,Fluids - Other (Not In Use),Solution,chartevents
221015,Ensure,Fluids - Other (Not In Use),Solution,chartevents
221016,Ensure Plus,Fluids - Other (Not In Use),Solution,chartevents
221017,"Dextrose 2,5%",Fluids - Other (Not In Use),Solution,chartevents
221018,Nutrison Standard,Fluids - Other (Not In Use),Solution,chartevents
221019,Carotenoids,Ingredients - general (Not In Use),Ingredient,chartevents
221020,Nutrison concentrated,Fluids - Other (Not In Use),Solution,chartevents
221021,Nutrison Energy,Fluids - Other (Not In Use),Solution,chartevents
221022,Nutrison Energy Multi Fibre,Fluids - Other (Not In Use),Solution,chartevents
221024,Nutrison Multi Fibre,Fluids - Other (Not In Use),Solution,chartevents
221025,Pediasure,Fluids - Other (Not In Use),Solution,chartevents
221027,Pulmocare,Fluids - Other (Not In Use),Solution,chartevents
221028,Stresson,Fluids - Other (Not In Use),Solution,chartevents
221029,Osmolite,Fluids - Other (Not In Use),Solution,chartevents
221030,Caprylic acid,Ingredients - general (Not In Use),Ingredient,chartevents
221031,Capric acid,Ingredients - general (Not In Use),Ingredient,chartevents
221032,Lauric acid,Ingredients - general (Not In Use),Ingredient,chartevents
221033,Palmitic acid,Ingredients - general (Not In Use),Ingredient,chartevents
221035,Oleic acid,Ingredients - general (Not In Use),Ingredient,chartevents
221036,Nutren Renal (Full),Nutrition - Enteral,Solution,chartevents
221037,Jevity 1.2,Fluids - Other (Not In Use),Solution,chartevents
221038,Jevity,Fluids - Other (Not In Use),Solution,chartevents
221193,Auto transfusion,Fluids - Other (Not In Use),Solution,chartevents
221194,Hexastarch,Ingredients - general (Not In Use),Ingredient,chartevents
221195,"Hexastarch 6% (Elohaes) / Saline 0,9%",Fluids - Other (Not In Use),Solution,chartevents
221196,Fresubin Original,Fluids - Other (Not In Use),Solution,chartevents
221197,Fresubin Original Fibre,Fluids - Other (Not In Use),Solution,chartevents
221198,Fresubin Energy,Fluids - Other (Not In Use),Solution,chartevents
221199,Fresubin Energy Fibre,Fluids - Other (Not In Use),Solution,chartevents
221200,Fibrini,Fluids - Other (Not In Use),Solution,chartevents
221201,Fibrini Energy,Fluids - Other (Not In Use),Solution,chartevents
221202,Infatrini,Fluids - Other (Not In Use),Solution,chartevents
221203,Nutrini,Fluids - Other (Not In Use),Solution,chartevents
221204,Tentrini,Fluids - Other (Not In Use),Solution,chartevents
221205,Nutrison pre,Fluids - Other (Not In Use),Solution,chartevents
221206,Novasource,Fluids - Other (Not In Use),Solution,chartevents
221207,Impact (Full),Nutrition - Enteral,Solution,chartevents
221208,Normosol,Fluids - Other (Not In Use),Solution,chartevents
221209,Peptisorb,Fluids - Other (Not In Use),Solution,chartevents
221210,Suplena,Fluids - Other (Not In Use),Solution,chartevents
221211,"Sodium Bicarbonate 1,4%",Fluids - Other (Not In Use),Solution,chartevents
221212,"Saline 0,18%",Fluids - Other (Not In Use),Solution,chartevents
221213,Saline 30%,Fluids - Other (Not In Use),Solution,chartevents
221214,CT scan,5-Imaging,Processes,chartevents
221216,X-ray,5-Imaging,Processes,chartevents
221217,Ultrasound,5-Imaging,Processes,chartevents
221219,Venogram,5-Imaging,Processes,chartevents
221223,EEG,4-Procedures,Processes,chartevents
221255,Trans Esophageal Echo,5-Imaging,Processes,chartevents
221261,Abciximab (Reopro),Medications,Solution,chartevents
221282,Adenosine,Medications,Solution,chartevents
221289,Epinephrine,Medications,Solution,chartevents
221319,Alteplase (TPA),Medications,Solution,chartevents
221342,Aminophylline,Medications,Solution,chartevents
221343,Theophylline_DI,Ingredients - general (Not In Use),Ingredient,chartevents
221347,Amiodarone,Medications,Solution,chartevents
221385,Lorazepam (Ativan),Medications,Solution,chartevents
221393,Atropine,Medications,Solution,chartevents
221429,Esmolol,Medications,Solution,chartevents
221456,Calcium Gluconate,Medications,Solution,chartevents
221468,Diltiazem,Medications,Solution,chartevents
221555,Cisatracurium,Medications,Solution,chartevents
221623,Diazepam (Valium),Medications,Solution,chartevents
221653,Dobutamine,Medications,Solution,chartevents
221662,Dopamine,Medications,Solution,chartevents
221668,Midazolam (Versed),Medications,Solution,chartevents
221689,Drotrecogin (Xigris),Medications,Solution,chartevents
221712,Ketamine,Medications,Solution,chartevents
221733,Factor VIII,Blood Products/Colloids,Solution,chartevents
221744,Fentanyl,Medications,Solution,chartevents
221749,Phenylephrine,Medications,Solution,chartevents
221794,Furosemide (Lasix),Medications,Solution,chartevents
221824,Haloperidol (Haldol),Medications,Solution,chartevents
221828,Hydralazine,Medications,Solution,chartevents
221833,Hydromorphone (Dilaudid),Medications,Solution,chartevents
221892,Lepirudin,Medications,Solution,chartevents
221986,Milrinone,Medications,Solution,chartevents
222011,Magnesium Sulfate,Medications,Solution,chartevents
222021,Naloxone (Narcan),Medications,Solution,chartevents
222037,Nesiritide,Medications,Solution,chartevents
222042,Nicardipine,Medications,Solution,chartevents
222051,Nitroprusside,Medications,Solution,chartevents
222056,Nitroglycerin,Medications,Solution,chartevents
222062,Vecuronium,Medications,Solution,chartevents
222139,Potassium ACEtate,Nutrition - Supplements,Solution,chartevents
222151,Procainamide,Medications,Solution,chartevents
222168,Propofol,Medications,Solution,chartevents
222190,Ranitidine,Nutrition - Parenteral,Solution,chartevents
222315,Vasopressin,Medications,Solution,chartevents
222318,Verapamil,Medications,Solution,chartevents
222871,Mallampati classification (Intubation),Intubation,Text,chartevents
223059,Intubation - Details,Respiratory,Text,chartevents
223253,Magnetic Resonance Imaging,5-Imaging,Processes,chartevents
223257,Insulin - 70/30,Medications,Solution,chartevents
223258,Insulin - Regular,Medications,Solution,chartevents
223259,Insulin - NPH,Medications,Solution,chartevents
223260,Insulin - Glargine,Medications,Solution,chartevents
223261,Insulin - Humalog 75/25,Medications,Solution,chartevents
223262,Insulin - Humalog,Medications,Solution,chartevents
223679,TCO2 (calc) Venous,Labs,Numeric,chartevents
223751,Non-Invasive Blood Pressure Alarm - High,Alarms,Numeric,chartevents
223752,Non-Invasive Blood Pressure Alarm - Low,Alarms,Numeric,chartevents
223753,Riker-SAS Scale,Pain/Sedation,Text,chartevents
223754,Risk for Falls,Neurological,Text,chartevents
223758,Code Status,General,Text,chartevents
223759,Precautions: Standard +,General,Text,chartevents
223760,Health Care Proxy,General,Text,chartevents
223761,Temperature Fahrenheit,Routine Vital Signs,Numeric,chartevents
223763,Bladder Pressure,Routine Vital Signs,Numeric,chartevents
223764,Orthostatic HR lying,Routine Vital Signs,Numeric,chartevents
223765,Orthostatic HR sitting,Routine Vital Signs,Numeric,chartevents
223766,Orthostatic BPs standing,Routine Vital Signs,Numeric,chartevents
223767,Intra Cranial Pressure Alarm - High,Alarms,Numeric,chartevents
223768,Intra Cranial Pressure Alarm - Low,Alarms,Numeric,chartevents
223769,O2 Saturation Pulseoxymetry Alarm - High,Alarms,Numeric,chartevents
223770,O2 Saturation Pulseoxymetry Alarm - Low,Alarms,Numeric,chartevents
223771,PCWP,Hemodynamics,Numeric,chartevents
223772,SvO2,Hemodynamics,Numeric,chartevents
223773,PA Line cm Mark,Hemodynamics,Numeric,chartevents
223775,VAD Beat Rate R,Hemodynamics,Numeric,chartevents
223780,Daily Wake Up Deferred,Pain/Sedation,Text,chartevents
223781,Pain Present,Pain/Sedation,Text,chartevents
223782,Pain Type,Pain/Sedation,Text,chartevents
223783,Pain Location,Pain/Sedation,Text,chartevents
223784,Pain Cause,Pain/Sedation,Text,chartevents
223791,Pain Level,Pain/Sedation,Text,chartevents
223792,Pain Management,Pain/Sedation,Text,chartevents
223794,Pain Level Acceptable,Pain/Sedation,Text,chartevents
223795,Pain Assessment Method,Pain/Sedation,Text,chartevents
223796,Untoward Effect,Pain/Sedation,Text,chartevents
223797,Sensory Level,Pain/Sedation,Text,chartevents
223800,Epidural Appearance,Pain/Sedation,Text,chartevents
223801,NMB Medication,Pain/Sedation,Text,chartevents
223802,Nerve Stimulated,Pain/Sedation,Text,chartevents
223804,TOF Response/Twitch,Pain/Sedation,Text,chartevents
223805,Nausea and Vomiting (CIWA),Toxicology,Text,chartevents
223806,Tremor (CIWA),Toxicology,Text,chartevents
223810,Paroxysmal Sweats,Toxicology,Text,chartevents
223811,Anxiety,Toxicology,Text,chartevents
223814,Auditory Disturbance,Toxicology,Text,chartevents
223817,Agitation,Toxicology,Text,chartevents
223818,Tactile Disturbances,Toxicology,Text,chartevents
223819,Visual Disturbances,Toxicology,Text,chartevents
223820,Headache,Toxicology,Text,chartevents
223821,Orient/Clouding Sensory,Toxicology,Text,chartevents
223823,Insomnia,Toxicology,Text,chartevents
223824,Seizure,Toxicology,Text,chartevents
223825,Sustained Nystagmus,Toxicology,Text,chartevents
223827,Ataxia,Toxicology,Text,chartevents
223828,Slurred Speech,Toxicology,Text,chartevents
223829,Drowsiness,Toxicology,Text,chartevents
223830,PH (Arterial),Labs,Numeric,chartevents
223834,O2 Flow,Respiratory,Numeric,chartevents
223836,Airway Type,Respiratory,Text,chartevents
223837,ETT Size (ID),Respiratory,Text,chartevents
223838,ETT Location,Respiratory,Text,chartevents
223840,ETT Re-taped,Respiratory,Text,chartevents
223847,Passey Muir Valve in use,Respiratory,Text,chartevents
223849,Ventilator Mode,Respiratory,Text,chartevents
223851,Rate,Respiratory,Text,chartevents
223867,Additional Settings,Respiratory,Text,chartevents
223870,Wean,Respiratory,Text,chartevents
223871,Physio,Respiratory,Text,chartevents
223872,Inspired Gas Temp.,Respiratory,Numeric,chartevents
223873,Paw High,Respiratory,Numeric,chartevents
223874,Vti High,Respiratory,Numeric,chartevents
223875,Fspn High,Respiratory,Numeric,chartevents
223876,Apnea Interval,Respiratory,Numeric,chartevents
223877,ZCath Lab Intake,ZIntake,Numeric,chartevents
223878,ZOR Intake,ZIntake,Numeric,chartevents
223879,ZPACU Intake,ZIntake,Numeric,chartevents
223880,ZFree Form Intake,ZIntake,Numeric,chartevents
223881,ZGU Irrigant Intake,ZIntake,Numeric,chartevents
223898,Orientation,Neurological,Text,chartevents
223900,GCS - Verbal Response,Neurological,Text,chartevents
223901,GCS - Motor Response,Neurological,Text,chartevents
223902,Speech,Neurological,Text,chartevents
223903,Communication,Neurological,Text,chartevents
223904,Gag Reflex,Neurological,Text,chartevents
223905,Cough Reflex,Neurological,Text,chartevents
223907,Pupil Size Right,Neurological,Text,chartevents
223910,Follows Commands,Neurological,Text,chartevents
223911,Spontaneous Movement,Neurological,Text,chartevents
223916,Response to Stimuli (Type),Neurological,Text,chartevents
223917,RU Strength/Movement,Neurological,Text,chartevents
223918,RL Strength/Movement,Neurological,Text,chartevents
223919,LU Strength/Movement,Neurological,Text,chartevents
223920,LL Strength/Movement,Neurological,Text,chartevents
223921,Neuro Symptoms,Neurological,Text,chartevents
223923,Seizure Activity,Neurological,Text,chartevents
223924,RLE Sensation,Neurological,Text,chartevents
223925,Seizure Duration,Neurological,Text,chartevents
223926,Neuro Drain #1 Type,Neurological,Text,chartevents
223930,Neuro Drain #1 Level,Neurological,Text,chartevents
223931,Neuro Drain #1 Status,Neurological,Text,chartevents
223932,Neuro Drain #1 Drainage,Neurological,Text,chartevents
223933,Heat Sounds,Cardiovascular (Pulses),Text,chartevents
223934,Dorsal PedPulse R,Cardiovascular (Pulses),Text,chartevents
223935,PostTib. Pulses R,Cardiovascular (Pulses),Text,chartevents
223936,Radial Pulse R,Cardiovascular (Pulses),Text,chartevents
223938,Ulnar Pulse R,Cardiovascular (Pulses),Text,chartevents
